file,total_lines,data_rows
ARI_Cardinals_2024.csv,2867,2866
ATL_Falcons_2024.csv,2990,2989
BAL_Ravens_2024.csv,3305,3304
BUF_Bills_2024.csv,3413,3412
CAR_Panthers_2024.csv,3019,3018
CHI_Bears_2024.csv,2922,2921
CIN_Bengals_2024.csv,3042,3041
CLE_Browns_2024.csv,3008,3007
DAL_Cowboys_2024.csv,3037,3036
DEN_Broncos_2024.csv,3176,3175
DET_Lions_2024.csv,3143,3142
GB_Packers_2024.csv,3080,3079
HOU_Texans_2024.csv,3279,3278
IND_Colts_2024.csv,2979,2978
JAX_Jaguars_2024.csv,2947,2946
KC_Chiefs_2024.csv,3444,3443
LAC_Chargers_2024.csv,3051,3050
LA_Rams_2024.csv,3261,3260
LV_Raiders_2024.csv,2995,2994
MIA_Dolphins_2024.csv,2942,2941
MIN_Vikings_2024.csv,3171,3170
NE_Patriots_2024.csv,2928,2927
NO_Saints_2024.csv,2999,2998
NYG_Giants_2024.csv,2947,2946
NYJ_Jets_2024.csv,2907,2906
PHI_Eagles_2024.csv,3639,3638
PIT_Steelers_2024.csv,3126,3125
SEA_Seahawks_2024.csv,2979,2978
SF_49ers_2024.csv,2845,2844
TB_Buccaneers_2024.csv,3148,3147
TEN_Titans_2024.csv,2896,2895
WAS_Commanders_2024.csv,3531,3530
